"Step","110-dynamic","110-dynamic - dead-1__MIN","110-dynamic - dead-1__MAX","110-ofb","110-ofbt - dead-1__MIN","110-ofbt - dead-1__MAX","110-static-1","110-static-1 - dead-1__MIN","110-static-1 - dead-1__MAX","110-every-100","110-every-100 - dead-1__MIN","110-every-100 - dead-1__MAX","110-every-10","110-every-10 - dead-1__MIN","110-every-10 - dead-1__MAX"
"753","","","","","","","","","","","","","0","0","0"
"755","0","0","0","0","0","0","0","0","0","","","","","",""
"758","","","","","","","0","0","0","","","","0","0","0"
"766","0","0","0","","","","0","0","0","","","","","",""
"769","","","","","","","0","0","0","","","","","",""
"771","","","","","","","0","0","0","","","","","",""
"775","0","0","0","","","","","","","","","","","",""
"776","0","0","0","","","","","","","","","","","",""
"778","0","0","0","","","","","","","","","","","",""
"790","","","","","","","0","0","0","","","","","",""
"791","","","","0","0","0","","","","","","","8","8","8"
"812","","","","","","","7","7","7","","","","","",""
"814","","","","","","","6","6","6","","","","","",""
"823","0","0","0","","","","","","","","","","","",""
"828","","","","","","","3","3","3","","","","","",""
"832","","","","","","","","","","4","4","4","","",""
"833","","","","","","","","","","0","0","0","","",""
"840","","","","","","","0","0","0","","","","","",""
"842","","","","","","","","","","","","","4","4","4"
"844","","","","","","","","","","0","0","0","","",""
"847","","","","","","","4","4","4","","","","","",""
"850","","","","","","","","","","4","4","4","","",""
"856","","","","","","","","","","","","","11","11","11"
"860","","","","0","0","0","","","","","","","","",""
"864","0","0","0","","","","","","","","","","","",""
"868","","","","0","0","0","","","","","","","","",""
"871","","","","","","","","","","1","1","1","","",""
"880","0","0","0","","","","","","","","","","","",""
"882","0","0","0","","","","","","","","","","2","2","2"
"888","","","","0","0","0","","","","","","","","",""
"889","0","0","0","","","","","","","0","0","0","","",""
"892","","","","0","0","0","","","","","","","","",""
"893","0","0","0","","","","","","","","","","","",""
"898","","","","","","","","","","0","0","0","","",""
"901","","","","0","0","0","","","","","","","","",""
"905","","","","","","","0","0","0","","","","","",""
"907","","","","","","","0","0","0","","","","","",""
"910","","","","","","","","","","0","0","0","","",""
"913","","","","","","","","","","","","","7","7","7"
"915","","","","0","0","0","","","","","","","","",""
"920","","","","0","0","0","","","","","","","","",""
"923","","","","","","","","","","","","","8","8","8"
"924","","","","","","","","","","","","","8","8","8"
"926","","","","0","0","0","","","","","","","","",""
"930","0","0","0","","","","","","","","","","","",""
"936","0","0","0","","","","","","","","","","","",""
"939","0","0","0","","","","","","","","","","","",""
"941","","","","0","0","0","","","","","","","","",""
"944","0","0","0","","","","","","","","","","","",""
"948","0","0","0","","","","","","","","","","","",""
"949","0","0","0","0","0","0","","","","","","","","",""
"951","0","0","0","","","","","","","","","","","",""
"952","","","","0","0","0","","","","","","","","",""
"959","","","","","","","4","4","4","","","","7","7","7"
"960","","","","","","","","","","","","","7","7","7"
"964","0","0","0","","","","","","","","","","","",""
"967","","","","","","","0","0","0","","","","11","11","11"
"976","0","0","0","","","","","","","","","","","",""
"978","","","","0","0","0","","","","","","","","",""
"979","","","","","","","0","0","0","0","0","0","","",""
"982","","","","0","0","0","","","","","","","","",""
"985","","","","","","","","","","","","","4","4","4"
"986","","","","","","","","","","0","0","0","","",""
"987","","","","0","0","0","","","","","","","","",""
"988","","","","","","","","","","0","0","0","","",""
"989","","","","0","0","0","","","","","","","","",""
"993","0","0","0","","","","","","","","","","","",""
"994","","","","","","","","","","0","0","0","4","4","4"
"996","","","","","","","0","0","0","","","","","",""
"997","0","0","0","","","","","","","","","","","",""
"999","","","","","","","","","","0","0","0","","",""
"1000","","","","0","0","0","","","","","","","","",""
"1006","","","","0","0","0","0","0","0","","","","","",""
"1007","","","","0","0","0","0","0","0","0","0","0","","",""
"1009","0","0","0","","","","","","","","","","","",""
"1013","","","","","","","","","","0","0","0","","",""
"1020","","","","","","","0","0","0","","","","","",""
"1022","","","","","","","0","0","0","","","","","",""
"1028","","","","","","","","","","0","0","0","","",""
"1031","","","","","","","","","","0","0","0","","",""
"1043","","","","","","","","","","","","","0","0","0"
"1045","","","","0","0","0","","","","","","","","",""
"1047","","","","0","0","0","","","","","","","","",""
"1048","0","0","0","","","","","","","","","","","",""
"1049","","","","","","","0","0","0","0","0","0","","",""
"1054","","","","","","","","","","0","0","0","","",""
"1063","0","0","0","","","","","","","","","","","",""
"1068","","","","","","","0","0","0","","","","","",""
"1073","","","","","","","0","0","0","0","0","0","","",""
"1074","","","","","","","","","","0","0","0","","",""
"1076","0","0","0","","","","","","","","","","","",""
"1085","","","","","","","0","0","0","","","","","",""
"1086","","","","","","","","","","0","0","0","","",""
"1088","","","","","","","","","","0","0","0","","",""
"1090","","","","","","","0","0","0","","","","","",""
"1091","","","","","","","","","","","","","9","9","9"
"1099","0","0","0","","","","0","0","0","","","","","",""
"1100","","","","","","","0","0","0","","","","","",""
"1106","","","","","","","","","","0","0","0","","",""
"1110","","","","","","","","","","0","0","0","","",""
"1111","","","","","","","","","","","","","2","2","2"
"1112","","","","","","","0","0","0","","","","","",""
"1117","","","","","","","","","","0","0","0","","",""
"1119","","","","","","","","","","0","0","0","","",""
"1124","","","","","","","0","0","0","","","","","",""
"1125","","","","","","","","","","","","","11","11","11"
"1128","","","","0","0","0","","","","","","","","",""
"1129","","","","","","","","","","","","","10","10","10"
"1130","","","","","","","","","","0","0","0","","",""
"1132","","","","","","","","","","0","0","0","","",""
"1136","","","","","","","","","","","","","1","1","1"
"1140","","","","0","0","0","0","0","0","","","","","",""
"1151","0","0","0","","","","","","","","","","","",""
"1154","","","","0","0","0","","","","","","","","",""
"1155","0","0","0","","","","","","","","","","","",""
"1157","","","","0","0","0","","","","","","","4","4","4"
"1163","0","0","0","","","","","","","","","","","",""
"1169","0","0","0","","","","","","","","","","","",""
"1180","","","","","","","","","","11","11","11","","",""
"1181","","","","","","","","","","8","8","8","","",""
"1183","","","","","","","","","","11","11","11","","",""
"1184","0","0","0","","","","","","","","","","","",""
"1185","","","","","","","5","5","5","","","","","",""
"1186","","","","","","","","","","10","10","10","","",""
"1188","","","","","","","","","","8","8","8","","",""
"1189","0","0","0","","","","","","","","","","","",""
"1190","","","","","","","9","9","9","","","","","",""
"1194","0","0","0","","","","","","","","","","","",""
"1200","","","","0","0","0","","","","","","","","",""
"1206","","","","","","","","","","","","","0","0","0"
"1209","","","","0","0","0","","","","","","","","",""
"1213","","","","","","","","","","2","2","2","","",""
"1214","","","","","","","","","","","","","0","0","0"
"1215","0","0","0","","","","","","","","","","","",""
"1218","","","","0","0","0","","","","","","","","",""
"1223","","","","","","","","","","3","3","3","","",""
"1224","","","","","","","","","","2","2","2","","",""
"1229","","","","","","","1","1","1","","","","","",""
"1234","0","0","0","","","","","","","","","","","",""
"1236","","","","","","","","","","","","","1","1","1"
"1237","","","","0","0","0","","","","","","","","",""
"1239","0","0","0","","","","","","","","","","","",""
"1240","","","","0","0","0","","","","","","","","",""
"1243","0","0","0","","","","","","","","","","","",""
"1244","","","","","","","0","0","0","","","","","",""
"1247","","","","","","","","","","","","","10","10","10"
"1261","","","","0","0","0","","","","","","","","",""
"1262","","","","0","0","0","0","0","0","","","","","",""
"1266","0","0","0","","","","","","","","","","","",""
"1270","","","","0","0","0","","","","","","","","",""
"1271","","","","0","0","0","","","","","","","","",""
"1272","","","","","","","","","","","","","0","0","0"
"1273","","","","","","","0","0","0","","","","","",""
"1274","","","","","","","","","","","","","0","0","0"
"1275","","","","","","","0","0","0","","","","","",""
"1276","","","","","","","0","0","0","","","","","",""
"1280","0","0","0","","","","","","","","","","","",""
"1283","0","0","0","","","","0","0","0","","","","","",""
"1285","","","","","","","","","","","","","0","0","0"
"1287","","","","","","","","","","","","","0","0","0"
"1290","","","","","","","1","1","1","","","","0","0","0"
"1291","","","","7","7","7","","","","","","","","",""
"1292","","","","","","","0","0","0","","","","","",""
"1293","","","","","","","","","","","","","0","0","0"
"1305","0","0","0","","","","","","","","","","","",""
"1307","","","","","","","3","3","3","","","","","",""
"1309","","","","7","7","7","","","","","","","","",""
