"Step","110-dynamic","110-dynamic - drop-0__MIN","110-dynamic - drop-0__MAX","110-ofb","110-ofbt - drop-0__MIN","110-ofbt - drop-0__MAX","110-static-1","110-static-1 - drop-0__MIN","110-static-1 - drop-0__MAX","110-every-100","110-every-100 - drop-0__MIN","110-every-100 - drop-0__MAX","110-every-10","110-every-10 - drop-0__MIN","110-every-10 - drop-0__MAX"
"1005","0","0","0","","","","","","","","","","","",""
"1010","","","","","","","","","","0","0","0","","",""
"1011","","","","","","","","","","","","","0","0","0"
"1016","","","","","","","","","","0","0","0","","",""
"1018","","","","0","0","0","","","","","","","","",""
"1020","","","","0","0","0","","","","","","","","",""
"1023","0","0","0","","","","","","","","","","","",""
"1024","","","","","","","","","","0","0","0","","",""
"1025","","","","","","","","","","","","","0","0","0"
"1027","","","","","","","0","0","0","","","","","",""
"1031","","","","0","0","0","","","","","","","","",""
"1034","","","","","","","0","0","0","","","","","",""
"1040","0","0","0","","","","","","","","","","","",""
"1041","","","","","","","0","0","0","","","","","",""
"1052","","","","","","","0","0","0","","","","","",""
"1054","","","","","","","0","0","0","","","","0","0","0"
"1058","","","","","","","","","","","","","0","0","0"
"1061","","","","0","0","0","","","","","","","","",""
"1063","","","","0","0","0","","","","0","0","0","","",""
"1067","","","","","","","","","","","","","0","0","0"
"1072","2","2","2","","","","","","","","","","","",""
"1076","0","0","0","","","","","","","0","0","0","","",""
"1079","0","0","0","","","","","","","0","0","0","","",""
"1082","","","","","","","","","","","","","0","0","0"
"1085","","","","","","","","","","0","0","0","","",""
"1089","","","","","","","","","","0","0","0","","",""
"1091","1","1","1","","","","","","","","","","","",""
"1094","","","","0","0","0","","","","","","","","",""
"1095","","","","","","","0","0","0","","","","","",""
"1096","","","","","","","","","","0","0","0","","",""
"1100","","","","0","0","0","","","","","","","","",""
"1101","","","","0","0","0","","","","","","","","",""
"1108","","","","","","","0","0","0","0","0","0","","",""
"1109","0","0","0","0","0","0","","","","","","","","",""
"1115","","","","","","","","","","","","","0","0","0"
"1120","","","","","","","","","","","","","0","0","0"
"1121","3","3","3","","","","","","","","","","0","0","0"
"1123","","","","","","","","","","","","","0","0","0"
"1128","","","","","","","","","","0","0","0","","",""
"1132","","","","","","","","","","0","0","0","","",""
"1146","","","","","","","","","","0","0","0","","",""
