"Step","110-dynamic","110-dynamic - latency-1__MIN","110-dynamic - latency-1__MAX","110-ofb","110-ofbt - latency-1__MIN","110-ofbt - latency-1__MAX","110-static-1","110-static-1 - latency-1__MIN","110-static-1 - latency-1__MAX","110-every-100","110-every-100 - latency-1__MIN","110-every-100 - latency-1__MAX","110-every-10","110-every-10 - latency-1__MIN","110-every-10 - latency-1__MAX"
"837","","","","","","","","","","","","","70","70","70"
"839","","","","","","","","","","70","70","70","","",""
"841","9.25","9.25","9.25","","","","","","","","","","","",""
"843","9.875","9.875","9.875","","","","","","","","","","","",""
"847","","","","","","","","","","70","70","70","","",""
"849","10","10","10","","","","","","","","","","","",""
"855","","","","","","","","","","70","70","70","0","0","0"
"860","","","","","","","70","70","70","","","","","",""
"863","","","","0","0","0","","","","","","","","",""
"870","","","","","","","","","","70","70","70","","",""
"872","12","12","12","","","","","","","","","","","",""
"875","","","","","","","67.55555555555556","67.55555555555556","67.55555555555556","","","","","",""
"880","","","","","","","67.22222222222223","67.22222222222223","67.22222222222223","68.11111111111111","68.11111111111111","68.11111111111111","","",""
"881","12.777777777777779","12.777777777777779","12.777777777777779","0","0","0","","","","","","","","",""
"882","13","13","13","","","","","","","","","","","",""
"898","","","","","","","","","","","","","0","0","0"
"900","","","","","","","","","","67.4","67.4","67.4","","",""
"904","","","","","","","","","","68","68","68","","",""
"906","","","","0","0","0","","","","","","","","",""
"910","17.22222222222222","17.22222222222222","17.22222222222222","","","","","","","","","","","",""
"911","","","","","","","","","","69.6","69.6","69.6","","",""
"914","","","","","","","","","","","","","70","70","70"
"916","18.625","18.625","18.625","","","","","","","","","","","",""
"919","","","","0","0","0","","","","","","","","",""
"921","","","","","","","","","","70","70","70","","",""
"924","","","","0","0","0","","","","","","","","",""
"925","","","","","","","","","","70","70","70","","",""
"926","","","","","","","69","69","69","","","","","",""
"927","","","","0.16666666666666666","0.16666666666666666","0.16666666666666666","","","","","","","","",""
"930","","","","","","","","","","","","","70","70","70"
"931","","","","","","","","","","","","","70","70","70"
"933","","","","","","","","","","70","70","70","","",""
"934","","","","","","","70","70","70","","","","","",""
"940","","","","","","","","","","","","","70","70","70"
"952","","","","","","","","","","","","","0","0","0"
"955","","","","","","","70","70","70","","","","","",""
"959","31.8","31.8","31.8","","","","","","","","","","","",""
"961","","","","","","","","","","70","70","70","","",""
"963","","","","","","","","","","0","0","0","0","0","0"
"967","","","","","","","69.85714285714286","69.85714285714286","69.85714285714286","","","","0","0","0"
"969","","","","","","","70","70","70","","","","","",""
"972","","","","","","","69.6","69.6","69.6","","","","","",""
"973","","","","","","","69.18181818181819","69.18181818181819","69.18181818181819","","","","","",""
"977","39","39","39","","","","","","","","","","","",""
"979","","","","","","","","","","","","","0","0","0"
"982","","","","","","","","","","69.72727272727273","69.72727272727273","69.72727272727273","","",""
"987","","","","","","","65.25","65.25","65.25","","","","","",""
"988","","","","","","","64.81818181818181","64.81818181818181","64.81818181818181","","","","","",""
"992","","","","0","0","0","","","","","","","","",""
"995","","","","","","","","","","","","","70","70","70"
"998","51.6","51.6","51.6","","","","","","","","","","","",""
"1001","","","","","","","55.857142857142854","55.857142857142854","55.857142857142854","","","","","",""
"1003","","","","0","0","0","55","55","55","","","","0","0","0"
"1004","","","","0","0","0","","","","","","","","",""
"1006","51.38461538461539","51.38461538461539","51.38461538461539","0","0","0","","","","","","","","",""
"1008","","","","","","","","","","","","","0","0","0"
"1017","","","","","","","","","","","","","70","70","70"
"1018","","","","1.2222222222222223","1.2222222222222223","1.2222222222222223","","","","","","","","",""
"1019","","","","1.5555555555555556","1.5555555555555556","1.5555555555555556","","","","","","","","",""
"1025","","","","","","","","","","54.666666666666664","54.666666666666664","54.666666666666664","","",""
"1026","","","","","","","43.23076923076923","43.23076923076923","43.23076923076923","","","","","",""
"1036","","","","","","","37.916666666666664","37.916666666666664","37.916666666666664","","","","","",""
"1037","","","","","","","","","","","","","70","70","70"
"1039","","","","0","0","0","","","","","","","","",""
"1040","40.416666666666664","40.416666666666664","40.416666666666664","","","","","","","","","","","",""
"1043","","","","0.14285714285714285","0.14285714285714285","0.14285714285714285","","","","","","","","",""
"1044","","","","0","0","0","","","","","","","","",""
"1046","","","","","","","","","","44.083333333333336","44.083333333333336","44.083333333333336","","",""
"1054","33.714285714285715","33.714285714285715","33.714285714285715","","","","","","","","","","","",""
"1057","","","","","","","","","","","","","0","0","0"
"1069","30.7","30.7","30.7","","","","","","","","","","","",""
"1072","","","","","","","","","","","","","70","70","70"
"1081","","","","","","","","","","","","","70","70","70"
"1084","","","","","","","38.166666666666664","38.166666666666664","38.166666666666664","","","","","",""
"1085","","","","","","","38.5","38.5","38.5","","","","0","0","0"
"1089","","","","","","","","","","","","","0","0","0"
"1098","","","","","","","41.625","41.625","41.625","","","","","",""
"1101","","","","","","","","","","","","","70","70","70"
"1103","","","","20.5","20.5","20.5","","","","","","","","",""
"1121","","","","30","30","30","","","","","","","","",""
"1125","27.818181818181817","27.818181818181817","27.818181818181817","","","","","","","","","","","",""
"1129","","","","","","","","","","57","57","57","","",""
"1132","","","","","","","56","56","56","","","","","",""
"1134","","","","","","","","","","59.5","59.5","59.5","","",""
"1135","","","","","","","","","","0","0","0","","",""
"1138","","","","","","","61","61","61","","","","","",""
"1142","","","","0","0","0","","","","","","","","",""
"1145","","","","47","47","47","","","","","","","","",""
"1148","","","","","","","69","69","69","70","70","70","","",""
"1160","","","","","","","0","0","0","","","","","",""
"1161","","","","","","","","","","0","0","0","","",""
"1162","","","","","","","","","","0","0","0","","",""
"1164","","","","54.9","54.9","54.9","","","","","","","","",""
"1172","18.428571428571427","18.428571428571427","18.428571428571427","","","","","","","","","","","",""
"1173","","","","53.72727272727273","53.72727272727273","53.72727272727273","","","","","","","","",""
"1175","","","","","","","","","","","","","70","70","70"
"1177","","","","","","","","","","0","0","0","","",""
"1178","","","","55","55","55","","","","","","","","",""
"1180","","","","","","","0","0","0","","","","","",""
"1188","","","","","","","0","0","0","","","","","",""
"1189","17.8","17.8","17.8","","","","","","","","","","","",""
"1191","17.77777777777778","17.77777777777778","17.77777777777778","","","","","","","","","","","",""
"1194","17","17","17","","","","","","","","","","","",""
"1195","","","","","","","","","","","","","70","70","70"
"1196","","","","","","","","","","","","","70","70","70"
"1198","","","","","","","","","","","","","70","70","70"
"1199","","","","50","50","50","","","","","","","","",""
"1207","","","","47.666666666666664","47.666666666666664","47.666666666666664","","","","","","","","",""
"1208","","","","","","","","","","","","","69.2","69.2","69.2"
"1209","","","","","","","70","70","70","","","","","",""
"1211","12.333333333333334","12.333333333333334","12.333333333333334","","","","","","","","","","","",""
"1212","","","","","","","","","","","","","69.75","69.75","69.75"
"1217","","","","","","","","","","","","","69.63636363636364","69.63636363636364","69.63636363636364"
"1228","","","","","","","69.83333333333333","69.83333333333333","69.83333333333333","","","","","",""
"1231","","","","","","","","","","","","","70","70","70"
"1233","","","","","","","","","","70","70","70","","",""
"1248","","","","","","","","","","68.33333333333333","68.33333333333333","68.33333333333333","","",""
"1250","","","","","","","","","","","","","70","70","70"
"1254","","","","43","43","43","","","","","","","","",""
"1257","","","","44","44","44","","","","","","","","",""
"1258","","","","45","45","45","","","","","","","","",""
"1263","","","","","","","68.7","68.7","68.7","","","","","",""
"1265","8.166666666666666","8.166666666666666","8.166666666666666","51","51","51","","","","","","","","",""
"1267","","","","","","","","","","69.5","69.5","69.5","","",""
"1269","","","","0","0","0","","","","","","","","",""
"1274","3.25","3.25","3.25","","","","","","","","","","","",""
"1275","","","","","","","","","","","","","65.41666666666667","65.41666666666667","65.41666666666667"
"1281","3","3","3","0","0","0","","","","","","","","",""
"1285","2.7142857142857144","2.7142857142857144","2.7142857142857144","","","","","","","","","","","",""
"1286","","","","","","","","","","","","","63.06666666666667","63.06666666666667","63.06666666666667"
"1287","1.3571428571428572","1.3571428571428572","1.3571428571428572","","","","","","","","","","","",""
"1294","","","","","","","70","70","70","","","","58.30769230769231","58.30769230769231","58.30769230769231"
"1297","","","","","","","","","","64.5","64.5","64.5","","",""
"1308","","","","","","","","","","63.333333333333336","63.333333333333336","63.333333333333336","","",""
"1312","","","","","","","","","","63.875","63.875","63.875","","",""
"1313","","","","","","","","","","","","","57.55555555555556","57.55555555555556","57.55555555555556"
"1314","","","","70","70","70","","","","","","","","",""
"1323","0","0","0","","","","","","","","","","","",""
"1324","0","0","0","","","","","","","","","","","",""
"1329","0","0","0","","","","","","","","","","0","0","0"
"1339","","","","","","","70","70","70","","","","","",""
"1340","","","","","","","70","70","70","","","","","",""
"1341","","","","","","","","","","69.5","69.5","69.5","","",""
"1343","","","","67.0909090909091","67.0909090909091","67.0909090909091","","","","","","","","",""
"1347","","","","","","","","","","","","","70","70","70"
"1348","","","","","","","","","","","","","70","70","70"
"1351","","","","","","","","","","69.42857142857143","69.42857142857143","69.42857142857143","","",""
"1352","","","","","","","","","","","","","70","70","70"
"1356","","","","61.785714285714285","61.785714285714285","61.785714285714285","70","70","70","","","","","",""
"1358","3.25","3.25","3.25","","","","","","","","","","","",""
"1360","","","","","","","","","","","","","70","70","70"
"1362","4","4","4","","","","","","","","","","","",""
"1365","5","5","5","","","","","","","","","","","",""
"1367","","","","","","","","","","70","70","70","","",""
"1369","","","","","","","","","","70","70","70","","",""
"1374","","","","","","","0","0","0","","","","","",""
"1378","9.666666666666666","9.666666666666666","9.666666666666666","","","","","","","","","","","",""
"1380","","","","","","","","","","70","70","70","","",""
"1381","","","","","","","","","","0","0","0","","",""
"1383","10.272727272727273","10.272727272727273","10.272727272727273","","","","","","","","","","","",""
"1386","","","","","","","70","70","70","","","","","",""
"1388","","","","","","","70","70","70","","","","","",""
"1389","","","","42.72727272727273","42.72727272727273","42.72727272727273","","","","","","","","",""
"1393","","","","","","","","","","70","70","70","","",""
"1394","","","","","","","","","","","","","70","70","70"
"1399","","","","","","","","","","0","0","0","","",""
"1400","","","","","","","70","70","70","","","","","",""
"1403","","","","40.25","40.25","40.25","","","","","","","","",""
"1407","","","","","","","70","70","70","","","","70","70","70"
"1410","","","","","","","","","","70","70","70","","",""
"1411","","","","","","","","","","70","70","70","","",""
"1413","","","","","","","","","","","","","0","0","0"
"1419","","","","","","","","","","","","","0","0","0"
"1423","","","","","","","68.27272727272727","68.27272727272727","68.27272727272727","","","","","",""
"1427","","","","28.23076923076923","28.23076923076923","28.23076923076923","","","","","","","","",""
"1428","","","","","","","","","","","","","70","70","70"
"1431","","","","25.666666666666668","25.666666666666668","25.666666666666668","","","","","","","70","70","70"
"1434","14.666666666666666","14.666666666666666","14.666666666666666","","","","","","","","","","","",""
"1438","","","","","","","68.11111111111111","68.11111111111111","68.11111111111111","","","","","",""
"1439","16.833333333333332","16.833333333333332","16.833333333333332","","","","","","","","","","0","0","0"
"1447","","","","","","","","","","70","70","70","","",""
"1453","18.555555555555557","18.555555555555557","18.555555555555557","","","","70","70","70","","","","","",""
"1454","","","","","","","","","","","","","70","70","70"
"1459","19.444444444444443","19.444444444444443","19.444444444444443","","","","","","","","","","","",""
"1463","","","","9.4","9.4","9.4","","","","","","","69","69","69"
"1468","","","","","","","70","70","70","","","","70","70","70"
"1472","19.363636363636363","19.363636363636363","19.363636363636363","","","","","","","","","","","",""
"1479","","","","","","","","","","","","","0","0","0"
"1481","17.181818181818183","17.181818181818183","17.181818181818183","","","","","","","","","","70","70","70"
"1484","","","","5.363636363636363","5.363636363636363","5.363636363636363","","","","","","","","",""
"1485","","","","","","","","","","","","","70","70","70"
"1486","","","","","","","70","70","70","0","0","0","","",""
"1489","","","","","","","70","70","70","","","","","",""
"1492","","","","2.5","2.5","2.5","","","","","","","","",""
"1493","","","","","","","","","","","","","68.58333333333333","68.58333333333333","68.58333333333333"
"1494","13.666666666666666","13.666666666666666","13.666666666666666","","","","","","","","","","","",""
"1495","","","","","","","","","","70","70","70","","",""
"1499","","","","0.25","0.25","0.25","","","","","","","","",""
"1503","","","","0","0","0","","","","","","","","",""
"1505","","","","0","0","0","","","","","","","","",""
"1507","14","14","14","","","","","","","","","","","",""
"1509","","","","0","0","0","","","","0","0","0","","",""
"1510","13.4","13.4","13.4","","","","","","","","","","","",""
"1517","","","","","","","","","","70","70","70","","",""
"1520","","","","0.14285714285714285","0.14285714285714285","0.14285714285714285","","","","","","","","",""
"1521","16.11111111111111","16.11111111111111","16.11111111111111","","","","","","","70","70","70","","",""
"1524","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666","","","","","","","","",""
"1525","","","","0.25","0.25","0.25","","","","","","","","",""
"1527","","","","","","","","","","70","70","70","53.714285714285715","53.714285714285715","53.714285714285715"
"1533","","","","1.4285714285714286","1.4285714285714286","1.4285714285714286","","","","","","","","",""
"1537","","","","","","","59","59","59","","","","","",""
"1544","14.363636363636363","14.363636363636363","14.363636363636363","","","","","","","","","","","",""
"1545","14.363636363636363","14.363636363636363","14.363636363636363","","","","","","","","","","","",""
"1547","","","","","","","","","","","","","45.2","45.2","45.2"
"1548","","","","","","","","","","","","","44.86666666666667","44.86666666666667","44.86666666666667"
"1554","","","","2.875","2.875","2.875","","","","","","","","",""
"1555","","","","3","3","3","","","","70","70","70","","",""
"1560","","","","","","","50.45454545454545","50.45454545454545","50.45454545454545","","","","","",""
"1563","","","","","","","","","","69.125","69.125","69.125","","",""
"1564","13","13","13","","","","","","","","","","","",""
"1568","","","","3","3","3","","","","","","","","",""
"1575","","","","","","","","","","70","70","70","","",""
"1579","","","","8.666666666666666","8.666666666666666","8.666666666666666","","","","","","","","",""
"1581","10.916666666666666","10.916666666666666","10.916666666666666","9.5","9.5","9.5","","","","","","","","",""
"1583","","","","","","","45","45","45","","","","","",""
"1587","","","","11","11","11","","","","","","","","",""
"1590","","","","12","12","12","","","","","","","","",""
"1594","0.7142857142857143","0.7142857142857143","0.7142857142857143","","","","","","","","","","","",""
"1597","","","","","","","","","","","","","24.428571428571427","24.428571428571427","24.428571428571427"
