"Step","active-0","sunny-durian-3 - active-0__MIN","sunny-durian-3 - active-0__MAX"
"866315","14","14","14"
"867146","14","14","14"
"871667","12","12","12"
"872726","14","14","14"
"872739","8","8","8"
"873147","15","15","15"
"873837","12","12","12"
"878284","18","18","18"
"878675","12","12","12"
"880031","10","10","10"
"882652","15","15","15"
"883305","15","15","15"
"883960","16","16","16"
"884307","12","12","12"
"884402","11","11","11"
"887388","8","8","8"
"887520","10","10","10"
"887633","10","10","10"
"888470","13","13","13"
"888871","11","11","11"
"888895","12","12","12"
"889563","13","13","13"
"890261","16","16","16"
"890629","9","9","9"
"891873","16","16","16"
"892936","16","16","16"
"893063","13","13","13"
"894766","14","14","14"
"894978","14","14","14"
"896087","11","11","11"
"900250","13","13","13"
"900443","15","15","15"
"900743","14","14","14"
"902373","13","13","13"
"905488","13","13","13"
"906041","12","12","12"
"906135","11","11","11"
"906208","12","12","12"
"908711","15","15","15"
"908739","12","12","12"
"909498","6","6","6"
"912475","7","7","7"
"913203","17","17","17"
"913754","13","13","13"
"913986","10","10","10"
"914961","13","13","13"
"915583","14","14","14"
"916018","13","13","13"
"916350","15","15","15"
"917205","16","16","16"
"917357","15","15","15"
"918392","13","13","13"
"919084","14","14","14"
"919440","16","16","16"
"921326","14","14","14"
"922279","13","13","13"
"922390","16","16","16"
"922418","12","12","12"
"923245","9","9","9"
"924785","16","16","16"
"924806","16","16","16"
"925929","17","17","17"
"926058","9","9","9"
"927154","8","8","8"
"928557","13","13","13"
"931181","9","9","9"
"935051","12","12","12"
"935114","11","11","11"
"935209","14","14","14"
"935993","14","14","14"
"936295","12","12","12"
"936949","9","9","9"
"937454","14","14","14"
"937697","16","16","16"
"938245","14","14","14"
"938946","11","11","11"
"939669","16","16","16"
"940391","13","13","13"
"941099","8","8","8"
"943126","12","12","12"
"943641","17","17","17"
"943694","12","12","12"
"944137","11","11","11"
"945966","12","12","12"
"948069","12","12","12"
"949265","10","10","10"
"949802","18","18","18"
"949936","15","15","15"
"950316","10","10","10"
"950949","13","13","13"
"951907","10","10","10"
"952274","11","11","11"
"953631","13","13","13"
"953671","10","10","10"
"953820","13","13","13"
"954067","11","11","11"
"954698","19","19","19"
"954742","11","11","11"
"956028","11","11","11"
"959415","21","21","21"
"960493","6","6","6"
"960826","10","10","10"
"963516","14","14","14"
"963531","10","10","10"
"963939","9","9","9"
"966221","13","13","13"
"966232","19","19","19"
"966711","12","12","12"
"967771","10","10","10"
"968322","11","11","11"
"968337","14","14","14"
"971644","10","10","10"
"972473","14","14","14"
"974740","13","13","13"
"975904","11","11","11"
"976055","13","13","13"
"976923","13","13","13"
"976968","15","15","15"
"977023","15","15","15"
"978658","9","9","9"
"980539","17","17","17"
"981489","13","13","13"
"984175","15","15","15"
"988149","13","13","13"
"988542","15","15","15"
"988906","15","15","15"
"989166","12","12","12"
"990400","11","11","11"
"991149","14","14","14"
"991862","13","13","13"
"992680","11","11","11"
"993180","12","12","12"
"994024","16","16","16"
"995496","14","14","14"
"995824","14","14","14"
"998237","17","17","17"
"999197","13","13","13"
"1000649","14","14","14"
"1001133","13","13","13"
"1005141","13","13","13"
"1005228","15","15","15"
"1005539","11","11","11"
"1005599","13","13","13"
"1005751","13","13","13"
"1006290","10","10","10"
"1006684","12","12","12"
"1007697","16","16","16"
"1007837","14","14","14"
"1008096","11","11","11"
"1008770","13","13","13"
"1009289","17","17","17"
"1009594","13","13","13"
"1010512","12","12","12"
"1011551","14","14","14"
"1012722","16","16","16"
"1013118","12","12","12"
"1013916","13","13","13"
"1014374","17","17","17"
"1014387","12","12","12"
"1015975","13","13","13"
"1016478","14","14","14"
"1017194","12","12","12"
"1018188","16","16","16"
"1020047","12","12","12"
"1022155","15","15","15"
"1023835","11","11","11"
"1025979","13","13","13"
"1029863","16","16","16"
"1031696","17","17","17"
"1033796","12","12","12"
"1038334","14","14","14"
"1040116","12","12","12"
"1041816","13","13","13"
"1047033","15","15","15"
"1051026","13","13","13"
"1052870","11","11","11"
"1053568","17","17","17"
"1054433","15","15","15"
"1055038","14","14","14"
"1055853","15","15","15"
"1056923","9","9","9"
"1058425","15","15","15"
"1059690","16","16","16"
"1060054","11","11","11"
"1060841","13","13","13"
"1061970","12","12","12"
"1062225","8","8","8"
"1062489","14","14","14"
"1062865","12","12","12"
"1063013","13","13","13"
"1064679","17","17","17"
"1066187","13","13","13"
"1066869","11","11","11"
"1068473","10","10","10"
"1070448","14","14","14"
"1070500","14","14","14"
"1071171","12","12","12"
"1071359","10","10","10"
"1071702","13","13","13"
"1073163","14","14","14"
"1073944","16","16","16"
"1074453","16","16","16"
"1074933","14","14","14"
"1075803","17","17","17"
"1076567","12","12","12"
"1076894","12","12","12"
"1079342","13","13","13"
"1081904","16","16","16"
"1083477","19","19","19"
"1084114","11","11","11"
"1085877","15","15","15"
"1085957","15","15","15"
"1087448","17","17","17"
"1090509","17","17","17"
"1091057","19","19","19"
"1091715","13","13","13"
"1091925","13","13","13"
"1094353","13","13","13"
"1097359","12","12","12"
"1097590","18","18","18"
"1098016","10","10","10"
"1098581","8","8","8"
"1100417","2","2","2"
"1100525","2","2","2"
"1100660","4","4","4"
"1101001","3","3","3"
"1101447","1","1","1"
"1102291","2","2","2"
"1102405","2","2","2"
"1105903","1","1","1"
"1106651","3","3","3"
"1108336","3","3","3"
"1109804","2","2","2"
"1111151","3","3","3"
"1111981","3","3","3"
"1112487","3","3","3"
