"Step","12-static-1","12-static - dead-1__MIN","12-static - dead-1__MAX","12-dynamic","12-dynamic - dead-1__MIN","12-dynamic - dead-1__MAX","12-ofb","12-ofbt - dead-1__MIN","12-ofbt - dead-1__MAX","12-every-10","12-every-10 - dead-1__MIN","12-every-10 - dead-1__MAX","12-every-100","12-every-100 - dead-1__MIN","12-every-100 - dead-1__MAX"
"1775","","","","","","","2","2","2","","","","","",""
"1785","0","0","0","","","","","","","","","","","",""
"1789","0","0","0","","","","","","","","","","","",""
"1795","","","","0","0","0","","","","","","","","",""
"1798","","","","0","0","0","","","","","","","","",""
"1799","","","","","","","","","","0","0","0","","",""
"1805","","","","0","0","0","","","","","","","","",""
"1808","","","","","","","0","0","0","","","","","",""
"1810","","","","0","0","0","","","","","","","","",""
"1812","","","","","","","","","","","","","0","0","0"
"1821","0","0","0","","","","","","","","","","","",""
"1828","","","","0","0","0","","","","","","","","",""
"1832","","","","","","","","","","","","","0","0","0"
"1835","","","","","","","","","","","","","0","0","0"
"1837","","","","","","","","","","0","0","0","0","0","0"
"1838","0","0","0","","","","","","","0","0","0","","",""
"1844","","","","","","","","","","0","0","0","","",""
"1846","0","0","0","","","","","","","","","","","",""
"1847","","","","","","","","","","0","0","0","","",""
"1849","","","","","","","","","","","","","0","0","0"
"1855","0","0","0","","","","","","","","","","","",""
"1859","","","","","","","","","","","","","0","0","0"
"1872","","","","","","","","","","0","0","0","","",""
"1873","","","","","","","3","3","3","","","","","",""
"1875","","","","","","","","","","0","0","0","","",""
"1877","","","","","","","","","","0","0","0","","",""
"1886","","","","0","0","0","","","","","","","","",""
"1901","","","","","","","0","0","0","","","","","",""
"1902","","","","0","0","0","","","","","","","","",""
"1904","","","","","","","","","","","","","0","0","0"
"1908","","","","","","","","","","","","","0","0","0"
"1911","","","","0","0","0","","","","","","","","",""
"1913","","","","","","","","","","0","0","0","","",""
"1915","0","0","0","","","","","","","","","","","",""
"1918","","","","0","0","0","","","","","","","","",""
"1919","0","0","0","","","","","","","","","","0","0","0"
"1931","","","","","","","","","","","","","0","0","0"
"1936","0","0","0","","","","","","","","","","","",""
"1943","","","","0","0","0","0","0","0","","","","","",""
"1946","0","0","0","","","","","","","","","","","",""
"1947","","","","0","0","0","","","","","","","","",""
"1952","0","0","0","","","","","","","","","","","",""
"1956","0","0","0","","","","","","","","","","","",""
"1957","","","","","","","2","2","2","","","","","",""
"1958","","","","","","","0","0","0","","","","","",""
"1961","","","","0","0","0","","","","","","","","",""
"1975","","","","","","","","","","","","","0","0","0"
"1976","0","0","0","","","","","","","","","","","",""
"1979","","","","0","0","0","","","","0","0","0","","",""
"1982","","","","","","","","","","","","","0","0","0"
"1986","","","","0","0","0","","","","","","","","",""
"1987","","","","","","","2","2","2","","","","","",""
"1993","","","","","","","6","6","6","","","","","",""
"2003","","","","","","","","","","0","0","0","","",""
"2004","","","","","","","","","","0","0","0","","",""
"2005","","","","","","","","","","0","0","0","","",""
"2012","","","","","","","","","","0","0","0","","",""
"2013","","","","0","0","0","","","","","","","","",""
"2021","","","","0","0","0","","","","","","","","",""
"2022","","","","0","0","0","","","","","","","","",""
"2026","0","0","0","","","","","","","","","","","",""
"2027","","","","","","","","","","","","","0","0","0"
"2033","0","0","0","","","","","","","0","0","0","","",""
"2039","0","0","0","","","","0","0","0","","","","","",""
"2043","0","0","0","","","","","","","","","","","",""
"2044","","","","","","","0","0","0","","","","","",""
"2055","0","0","0","0","0","0","","","","","","","0","0","0"
"2056","","","","","","","","","","","","","0","0","0"
"2060","","","","","","","","","","","","","0","0","0"
"2061","","","","","","","","","","0","0","0","","",""
"2066","","","","0","0","0","","","","0","0","0","","",""
"2067","","","","","","","","","","0","0","0","","",""
"2071","","","","0","0","0","","","","","","","","",""
"2073","","","","","","","","","","0","0","0","","",""
"2076","","","","0","0","0","","","","0","0","0","","",""
"2081","","","","","","","0","0","0","0","0","0","0","0","0"
"2082","","","","0","0","0","","","","","","","","",""
"2085","","","","","","","","","","","","","0","0","0"
"2087","","","","","","","","","","0","0","0","","",""
"2091","","","","","","","0","0","0","","","","","",""
"2092","0","0","0","","","","","","","","","","","",""
"2096","","","","","","","","","","","","","0","0","0"
"2105","","","","","","","0","0","0","","","","","",""
"2109","","","","0","0","0","","","","","","","","",""
"2110","","","","","","","0","0","0","","","","","",""
"2114","0","0","0","0","0","0","","","","","","","","",""
"2118","","","","","","","","","","0","0","0","","",""
"2123","","","","0","0","0","","","","","","","","",""
"2126","0","0","0","","","","","","","","","","0","0","0"
"2128","","","","","","","","","","0","0","0","","",""
"2133","","","","","","","","","","0","0","0","","",""
