"Step","12-static-1","12-static - drop-0__MIN","12-static - drop-0__MAX","12-dynamic","12-dynamic - drop-0__MIN","12-dynamic - drop-0__MAX","12-ofb","12-ofbt - drop-0__MIN","12-ofbt - drop-0__MAX","12-every-10","12-every-10 - drop-0__MIN","12-every-10 - drop-0__MAX","12-every-100","12-every-100 - drop-0__MIN","12-every-100 - drop-0__MAX"
"2170","","","","","","","","","","8","8","8","","",""
"2175","","","","","","","","","","4","4","4","14","14","14"
"2176","","","","","","","","","","8","8","8","","",""
"2179","0","0","0","0","0","0","","","","","","","","",""
"2181","","","","","","","","","","5","5","5","","",""
"2183","","","","","","","0","0","0","","","","","",""
"2192","","","","","","","","","","","","","13","13","13"
"2195","","","","","","","","","","10","10","10","","",""
"2196","","","","","","","","","","","","","11","11","11"
"2201","0","0","0","0","0","0","","","","9","9","9","","",""
"2202","3","3","3","0","0","0","","","","","","","","",""
"2209","","","","","","","0","0","0","","","","","",""
"2211","","","","","","","","","","","","","9","9","9"
"2221","2","2","2","8","8","8","","","","","","","","",""
"2222","","","","","","","","","","","","","13","13","13"
"2224","","","","","","","","","","","","","12","12","12"
"2229","","","","","","","","","","6","6","6","","",""
"2236","0","0","0","5","5","5","","","","","","","","",""
"2247","","","","","","","","","","0","0","0","","",""
"2251","","","","","","","0","0","0","0","0","0","","",""
"2252","","","","","","","","","","","","","8","8","8"
"2254","","","","","","","0","0","0","","","","","",""
"2255","","","","","","","","","","","","","9","9","9"
"2259","0","0","0","5","5","5","","","","0","0","0","","",""
"2260","0","0","0","5","5","5","","","","","","","","",""
"2266","","","","","","","","","","0","0","0","","",""
"2267","","","","","","","","","","0","0","0","","",""
"2272","","","","","","","","","","0","0","0","","",""
"2275","0","0","0","12","12","12","","","","","","","","",""
"2281","0","0","0","10","10","10","","","","","","","","",""
"2284","","","","","","","0","0","0","","","","10","10","10"
"2287","0","0","0","12","12","12","","","","","","","","",""
"2289","","","","","","","0","0","0","","","","","",""
"2291","","","","","","","0","0","0","","","","13","13","13"
"2307","","","","","","","0","0","0","","","","","",""
"2309","0","0","0","8","8","8","","","","","","","","",""
"2313","0","0","0","12","12","12","","","","","","","","",""
"2316","","","","","","","","","","0","0","0","","",""
"2318","0","0","0","13","13","13","","","","","","","","",""
"2328","","","","","","","","","","","","","5","5","5"
"2332","","","","","","","","","","","","","4","4","4"
"2335","","","","","","","","","","","","","1","1","1"
"2337","","","","","","","","","","0","0","0","","",""
"2341","7","7","7","6","6","6","","","","","","","","",""
"2343","4","4","4","7","7","7","","","","","","","","",""
"2345","","","","","","","","","","1","1","1","","",""
"2347","","","","","","","","","","0","0","0","3","3","3"
"2349","","","","","","","","","","2","2","2","","",""
"2351","","","","","","","","","","0","0","0","","",""
"2356","","","","","","","","","","1","1","1","","",""
"2367","","","","","","","0","0","0","","","","","",""
"2390","","","","","","","0","0","0","","","","","",""
"2391","","","","","","","","","","","","","7","7","7"
"2392","","","","","","","0","0","0","","","","","",""
"2401","","","","","","","0","0","0","","","","","",""
"2411","","","","","","","0","0","0","","","","2","2","2"
"2414","","","","","","","","","","","","","7","7","7"
