a b greedy - reward1 -- v nonGreedy - reward2
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-167.35294117647112)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-128.58823529411805)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-46.12132352941179)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-90.24632352941215)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-90.25735294117672)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-92.59926470588286)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-83.41911764705921)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-100.198529411765)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-107.36029411764706)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-82.84926470588238)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-120.625)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-123.5)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-154.6875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-203.25)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-190.75)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-117.8125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-111.125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-84.11764705882361)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-109.57352941176495)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-98.8639705882354)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-128.2463235294118)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-195.25000000000023)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-188.94117647058866)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-40.875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-85.31617647058852)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-105.4852941176475)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-153.64705882353016)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-31.963235294117588)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-110.41176470588245)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-106.01838235294119)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-103.4375)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-77.06249999999997)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-120.05882352941175)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-127.25)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-152.0625)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-205.1875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-169.4375)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-178.8125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-101.625)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-94.875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-78.625)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-75.36397058823533)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-82.79779411764723)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-87.65073529411787)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-100.52205882352955)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-98.1029411764711)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-105.25367647058852)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-97.23529411764726)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-88.76470588235306)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-71.35294117647068)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-61.95955882352943)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-102.31617647058856)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-160.702205882353)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-60.96691176470595)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-72.76102941176478)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-95.28308823529422)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-90.87500000000027)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-97.5)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-105.49632352941174)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-70.125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-108.8125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-106.375)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-89.4375)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-108.4375)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-99.9375)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-76.8125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-87.875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-105.23897058823528)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-98.80514705882366)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-84.94117647058849)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-103.11029411764737)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-95.1176470588239)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-76.93382352941178)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-88.01102941176504)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-156.64705882353036)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-38.555147058823515)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-151.1764705882365)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-50.764705882352935)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-105.35294117647094)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-47.29411764705881)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-112.29411764705928)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-77.17647058823542)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-82.058823529412)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-88.20588235294147)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-68.97426470588242)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-86.7941176470588)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-107.5625)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-100.52941176470587)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-90.0)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-64.23897058823532)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-95.73529411764706)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-108.8125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-97.0)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-85.5625)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-86.5)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-85.25735294117649)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-94.58455882352958)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-92.169117647059)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-90.75735294117675)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-97.63970588235335)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-99.38602941176495)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-108.23897058823584)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-79.68750000000027)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-104.76470588235334)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-85.35294117647084)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-89.35294117647088)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-91.17647058823579)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-87.4595588235296)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-82.22058823529451)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-83.53676470588279)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-99.8676470588238)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-96.13602941176505)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-100.16176470588239)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-105.59191176470591)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-119.3125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-152.1875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-103.4375)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-74.28308823529416)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-107.4632352941179)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-105.8125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-97.30882352941191)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-91.70220588235304)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-92.75735294117663)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-160.47058823529474)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-110.29411764705918)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-66.67279411764716)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-83.55514705882375)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-131.47058823529463)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-102.88235294117668)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-71.06617647058832)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-162.00000000000108)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-55.52941176470597)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-52.35294117647067)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-81.12500000000023)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-97.25367647058829)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-85.49264705882383)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-84.6875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-119.1875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-130.375)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-136.5)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-136.625)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-85.4375)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-122.25)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-99.75)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-92.25)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-81.3125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-87.8860294117648)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-114.95220588235333)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-84.94117647058867)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-72.5367647058825)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-114.49264705882362)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-101.09926470588273)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-73.23529411764721)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-96.52941176470615)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-118.17647058823569)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-63.58823529411775)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-64.29044117647055)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-106.84558823529456)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-82.15073529411787)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-71.35294117647081)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-80.50367647058837)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-96.5698529411767)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-97.47058823529407)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-99.0735294117647)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-97.11397058823546)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-87.1286764705882)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-91.3125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-102.8125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-92.0625)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-81.8125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-80.5)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-85.91176470588262)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-87.79044117647081)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-80.81617647058874)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-95.02941176470637)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-92.64338235294163)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-92.01102941176525)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-86.93750000000051)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-80.66544117647103)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-104.53308823529458)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-85.75000000000036)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-83.24632352941222)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-85.64705882352985)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-81.31250000000043)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-104.448529411765)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-85.94852941176477)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-75.2132352941179)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-108.50735294117663)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-93.1875)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-72.85294117647076)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-112.35294117647092)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-97.97058823529416)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-79.3125)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-95.28308823529437)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-80.89705882352955)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-89.80882352941192)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-97.25367647058842)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-86.21691176470624)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-87.92647058823567)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-88.227941176471)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-97.60294117647096)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-99.35294117647095)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-89.4485294117652)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-86.69485294117692)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-97.29779411764768)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-71.66544117647082)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-91.66911764705934)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-87.52941176470621)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-86.26838235294161)
[+] Greedy: 0 - (0) -- Non-Greedy: 0 - (-86.7941176470591)
