"Step","ofb-final-steps2M-Seed1 - slice1:incoming-traffic","ofb-final-steps2M-Seed1 - slice1:incoming-traffic__MIN","ofb-final-steps2M-Seed1 - slice1:incoming-traffic__MAX","dynamic-final-steps2M-Seed1 - slice1:incoming-traffic","dynamic-final-steps2M-Seed1 - slice1:incoming-traffic__MIN","dynamic-final-steps2M-Seed1 - slice1:incoming-traffic__MAX","static-final-steps2M-Seed1 - slice1:incoming-traffic","static-final-steps2M-Seed1 - slice1:incoming-traffic__MIN","static-final-steps2M-Seed1 - slice1:incoming-traffic__MAX"
"22760","","","","","","","10","10","10"
"22770","7","7","7","9","9","9","","",""
"22830","8","8","8","8","8","8","","",""
"22910","8","8","8","13","13","13","","",""
"22950","","","","","","","6","6","6"
"23020","10","10","10","7","7","7","","",""
"23040","9","9","9","8","8","8","","",""
"23100","14","14","14","10","10","10","","",""
"23160","11","11","11","8","8","8","","",""
"23170","7","7","7","8","8","8","","",""
"23240","11","11","11","13","13","13","","",""
"23250","","","","9","9","9","","",""
"23300","","","","","","","10","10","10"
"23430","12","12","12","13","13","13","","",""
"23560","11","11","11","5","5","5","","",""
"23570","","","","","","","9","9","9"
"23690","9","9","9","7","7","7","","",""
"23770","12","12","12","9","9","9","","",""
"23830","15","15","15","9","9","9","","",""
"23980","9","9","9","14","14","14","11","11","11"
"24090","","","","","","","8","8","8"
"24100","7","7","7","11","11","11","","",""
"24160","","","","","","","9","9","9"
"24190","8","8","8","8","8","8","","",""
"24200","","","","","","","11","11","11"
"24240","6","6","6","12","12","12","","",""
"24460","","","","","","","8","8","8"
"24510","8","8","8","7","7","7","","",""
"24590","15","15","15","9","9","9","","",""
"24620","","","","","","","8","8","8"
"24640","","","","","","","8","8","8"
"24700","","","","","","","11","11","11"
"24710","","","","","","","10","10","10"
"24930","8","8","8","9","9","9","","",""
"24950","10","10","10","7","7","7","","",""
"25140","","","","","","","9","9","9"
"25180","","","","","","","12","12","12"
"25340","12","12","12","13","13","13","","",""
"25380","","","","","","","13","13","13"
"25390","","","","","","","12","12","12"
"25450","10","10","10","8","8","8","","",""
"25480","","","","","","","13","13","13"
"25540","","","","","","","4","4","4"
"25580","8","8","8","5","5","5","","",""
"25750","","","","","","","7","7","7"
"25920","","","","","","","11","11","11"
"25960","9","9","9","5","5","5","","",""
"26160","","","","","","","13","13","13"
"26180","","","","","","","12","12","12"
"26200","","","","","","","8","8","8"
"26270","","","","","","","8","8","8"
"26300","","","","","","","10","10","10"
"26390","10","10","10","7","7","7","","",""
"26500","","","","","","","8","8","8"
"26520","8","8","8","9","9","9","","",""
"26560","12","12","12","9","9","9","","",""
"26640","6","6","6","12","12","12","","",""
"26730","11","11","11","11","11","11","","",""
"26840","7","7","7","8","8","8","","",""
"27220","","","","","","","10","10","10"
"27280","13","13","13","8","8","8","","",""
"27490","","","","","","","11","11","11"
"27620","","","","","","","11","11","11"
"27640","","","","","","","9","9","9"
"27760","8","8","8","6","6","6","","",""
"27790","5","5","5","11","11","11","","",""
"27850","","","","","","","11","11","11"
"27870","","","","","","","12","12","12"
"27930","7","7","7","8","8","8","","",""
"27940","","","","","","","5","5","5"
"28010","13","13","13","8","8","8","","",""
"28270","","","","11","11","11","10","10","10"
"28440","6","6","6","7","7","7","","",""
"28540","","","","","","","10","10","10"
"28620","8","8","8","10","10","10","","",""
"28630","9","9","9","8","8","8","","",""
"28670","","","","","","","7","7","7"
"28690","8","8","8","10","10","10","","",""
"28880","12","12","12","7","7","7","","",""
"28930","","","","","","","9","9","9"
"28990","9","9","9","11","11","11","","",""
"29020","","","","","","","9","9","9"
"29200","","","","","","","11","11","11"
"29430","","","","","","","7","7","7"
"29520","","","","","","","10","10","10"
"29710","7","7","7","11","11","11","","",""
"29760","9","9","9","7","7","7","","",""
