"Step","00-dynamic","00-dynamic - latency-1__MIN","00-dynamic - latency-1__MAX","00-every-100","00-every-100 - latency-1__MIN","00-every-100 - latency-1__MAX","00-every-10","00-every-10 - latency-1__MIN","00-every-10 - latency-1__MAX","00-static-1","00-static-1 - latency-1__MIN","00-static-1 - latency-1__MAX","00-ofb","00-ofb - latency-1__MIN","00-ofb - latency-1__MAX"
"1422","0","0","0","","","","","","","0","0","0","0","0","0"
"1426","","","","","","","","","","0","0","0","0","0","0"
"1427","","","","","","","","","","0","0","0","0","0","0"
"1433","","","","0","0","0","","","","","","","","",""
"1439","","","","","","","0","0","0","0","0","0","0","0","0"
"1441","","","","","","","0","0","0","","","","","",""
"1444","","","","0","0","0","","","","","","","","",""
"1446","","","","","","","","","","0","0","0","0","0","0"
"1449","","","","0","0","0","0","0","0","","","","","",""
"1463","","","","","","","0","0","0","","","","","",""
"1464","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","","","","","","","","",""
"1471","","","","","","","0","0","0","","","","","",""
"1477","","","","","","","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0"
"1479","0","0","0","","","","","","","","","","","",""
"1482","","","","","","","0","0","0","","","","","",""
"1488","0.375","0.375","0.375","","","","","","","","","","","",""
"1491","","","","5.666666666666667","5.666666666666667","5.666666666666667","0","0","0","","","","","",""
"1492","","","","5.5","5.5","5.5","","","","","","","","",""
"1493","0","0","0","","","","","","","","","","","",""
"1496","","","","","","","","","","0","0","0","0","0","0"
"1497","","","","","","","0","0","0","","","","","",""
"1498","","","","6.666666666666667","6.666666666666667","6.666666666666667","","","","","","","","",""
"1503","","","","","","","0","0","0","","","","","",""
"1504","0","0","0","","","","","","","","","","","",""
"1506","0","0","0","","","","","","","","","","","",""
"1511","","","","","","","","","","0","0","0","0","0","0"
"1515","","","","","","","0","0","0","","","","","",""
"1516","","","","","","","","","","0","0","0","0","0","0"
"1521","","","","","","","0","0","0","","","","","",""
"1522","","","","5","5","5","0","0","0","0","0","0","0","0","0"
"1531","","","","","","","0","0","0","","","","","",""
"1534","","","","","","","","","","0","0","0","0","0","0"
"1540","0","0","0","","","","","","","","","","","",""
"1541","","","","","","","0","0","0","","","","","",""
"1543","","","","","","","0","0","0","","","","","",""
"1544","0","0","0","","","","","","","","","","","",""
"1559","0","0","0","","","","0","0","0","","","","","",""
"1564","","","","","","","","","","0","0","0","0","0","0"
"1565","","","","","","","","","","0","0","0","0","0","0"
"1566","","","","","","","","","","0","0","0","0","0","0"
"1587","","","","0","0","0","","","","","","","","",""
"1588","0","0","0","","","","","","","","","","","",""
"1593","0.5","0.5","0.5","","","","","","","0","0","0","0","0","0"
"1594","0","0","0","0","0","0","","","","","","","","",""
"1601","","","","","","","","","","0","0","0","0","0","0"
"1602","0","0","0","","","","","","","","","","","",""
"1605","","","","0","0","0","","","","","","","","",""
"1609","","","","0","0","0","","","","","","","","",""
"1610","","","","","","","","","","0","0","0","2.5","2.5","2.5"
"1620","","","","","","","","","","0","0","0","0","0","0"
"1624","0.375","0.375","0.375","","","","","","","","","","","",""
"1625","","","","","","","8.875","8.875","8.875","","","","","",""
"1634","","","","","","","","","","0","0","0","0","0","0"
"1641","0","0","0","","","","","","","","","","","",""
"1647","","","","","","","","","","0","0","0","26.5","26.5","26.5"
"1649","","","","","","","","","","0","0","0","0","0","0"
"1654","0","0","0","","","","","","","","","","","",""
"1659","","","","","","","","","","0","0","0","22.2","22.2","22.2"
"1660","1","1","1","","","","","","","","","","","",""
"1661","","","","","","","","","","0","0","0","20.25","20.25","20.25"
"1667","0","0","0","","","","","","","","","","","",""
"1679","","","","0","0","0","","","","","","","","",""
"1680","","","","0","0","0","","","","","","","","",""
"1684","","","","","","","0","0","0","","","","","",""
"1692","","","","","","","","","","0","0","0","11","11","11"
"1700","","","","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666","","","","","",""
"1707","","","","","","","0","0","0","","","","","",""
"1710","","","","0","0","0","","","","","","","","",""
"1711","","","","","","","0","0","0","","","","","",""
"1712","","","","","","","","","","0","0","0","0","0","0"
"1725","","","","0","0","0","","","","","","","","",""
"1731","0","0","0","","","","","","","","","","","",""
"1732","","","","","","","","","","0","0","0","28.333333333333332","28.333333333333332","28.333333333333332"
"1738","","","","0","0","0","","","","0","0","0","26","26","26"
"1748","","","","","","","","","","0","0","0","0","0","0"
"1749","","","","0","0","0","","","","","","","","",""
"1751","","","","","","","","","","0","0","0","0","0","0"
"1756","","","","0","0","0","","","","","","","","",""
"1769","","","","0","0","0","","","","0","0","0","0","0","0"
"1770","","","","0","0","0","","","","","","","","",""
"1780","","","","","","","0.6","0.6","0.6","","","","","",""
"1782","","","","","","","0","0","0","","","","","",""
"1783","","","","","","","","","","0","0","0","56.5","56.5","56.5"
"1787","0","0","0","0","0","0","","","","","","","","",""
"1798","","","","","","","0","0","0","","","","","",""
"1801","","","","0","0","0","","","","","","","","",""
"1816","","","","","","","0","0","0","","","","","",""
"1817","0.4","0.4","0.4","0","0","0","","","","","","","","",""
"1824","","","","0","0","0","","","","","","","","",""
"1827","","","","","","","0","0","0","","","","","",""
"1831","0","0","0","","","","","","","0","0","0","45.5","45.5","45.5"
"1832","","","","","","","","","","0","0","0","0","0","0"
"1835","","","","","","","0","0","0","","","","","",""
"1837","","","","","","","0","0","0","","","","","",""
