"Step","00-dynamic","00-dynamic - dead-1__MIN","00-dynamic - dead-1__MAX","00-every-100","00-every-100 - dead-1__MIN","00-every-100 - dead-1__MAX","00-every-10","00-every-10 - dead-1__MIN","00-every-10 - dead-1__MAX","00-static-1","00-static-1 - dead-1__MIN","00-static-1 - dead-1__MAX","00-ofb","00-ofb - dead-1__MIN","00-ofb - dead-1__MAX"
"1736","","","","","","","0","0","0","","","","","",""
"1740","","","","","","","0","0","0","","","","","",""
"1747","0","0","0","","","","","","","0","0","0","0","0","0"
"1757","","","","","","","0","0","0","","","","","",""
"1759","","","","","","","0","0","0","","","","","",""
"1767","0","0","0","","","","","","","0","0","0","0","0","0"
"1770","","","","","","","0","0","0","","","","","",""
"1772","0","0","0","","","","","","","0","0","0","0","0","0"
"1779","","","","","","","0","0","0","","","","","",""
"1782","","","","0","0","0","","","","","","","","",""
"1787","","","","0","0","0","","","","","","","","",""
"1792","0","0","0","","","","0","0","0","0","0","0","0","0","0"
"1793","0","0","0","","","","","","","0","0","0","0","0","0"
"1794","","","","0","0","0","","","","","","","","",""
"1796","","","","","","","0","0","0","","","","","",""
"1812","","","","0","0","0","","","","","","","","",""
"1820","0","0","0","","","","","","","0","0","0","0","0","0"
"1841","0","0","0","","","","","","","0","0","0","0","0","0"
"1848","0","0","0","","","","","","","0","0","0","0","0","0"
"1850","","","","","","","0","0","0","","","","","",""
"1869","0","0","0","","","","","","","0","0","0","2","2","2"
"1870","","","","0","0","0","","","","","","","","",""
"1890","0","0","0","","","","","","","0","0","0","0","0","0"
"1891","0","0","0","","","","","","","0","0","0","0","0","0"
"1901","","","","","","","0","0","0","","","","","",""
"1902","0","0","0","","","","","","","0","0","0","3","3","3"
"1906","0","0","0","","","","","","","0","0","0","2","2","2"
"1914","0","0","0","","","","","","","0","0","0","0","0","0"
"1916","","","","","","","0","0","0","","","","","",""
"1945","","","","","","","0","0","0","","","","","",""
"1946","0","0","0","","","","","","","0","0","0","2","2","2"
"1953","","","","0","0","0","","","","","","","","",""
"1965","0","0","0","","","","","","","0","0","0","3","3","3"
"1968","","","","0","0","0","","","","","","","","",""
"1969","","","","0","0","0","","","","","","","","",""
"1978","0","0","0","","","","","","","0","0","0","4","4","4"
"1983","","","","","","","0","0","0","","","","","",""
"1989","","","","0","0","0","","","","","","","","",""
"1991","","","","0","0","0","","","","","","","","",""
"1996","","","","0","0","0","","","","","","","","",""
