"Step","00-dynamic","00-dynamic - drop-0__MIN","00-dynamic - drop-0__MAX","00-every-100","00-every-100 - drop-0__MIN","00-every-100 - drop-0__MAX","00-every-10","00-every-10 - drop-0__MIN","00-every-10 - drop-0__MAX","00-static-1","00-static-1 - drop-0__MIN","00-static-1 -drop-0__MAX","00-ofb","00-ofb - drop-0__MIN","00-ofb - drop-0__MAX"
"2074","","","","","","","","","","0","0","0","","",""
"2077","","","","","","","4","4","4","","","","0","0","0"
"2078","9","9","9","","","","0","0","0","","","","","",""
"2088","","","","10","10","10","3","3","3","","","","","",""
"2093","","","","","","","","","","10","10","10","","",""
"2097","","","","5","5","5","","","","","","","","",""
"2098","6","6","6","","","","0","0","0","","","","0","0","0"
"2101","","","","","","","3","3","3","","","","","",""
"2102","4","4","4","","","","","","","","","","","",""
"2106","","","","","","","0","0","0","","","","","",""
"2123","","","","6","6","6","","","","","","","","",""
"2126","","","","","","","","","","","","","0","0","0"
"2128","5","5","5","","","","","","","","","","","",""
