"Step","102-static-1","102-static-1 - dead-1__MIN","102-static-1 - dead-1__MAX","102-ofb","102-ofbt - dead-1__MIN","102-ofbt - dead-1__MAX","102-dynamic","102-dynamic - dead-1__MIN","102-dynamic - dead-1__MAX","102-every-10","102-every-10 - dead-1__MIN","102-every-10 - dead-1__MAX","102-every-100","102-every-100 - dead-1__MIN","102-every-100 - dead-1__MAX"
"986","","","","","","","","","","","","","0","0","0"
"991","","","","0","0","0","","","","","","","","",""
"993","","","","","","","","","","","","","0","0","0"
"996","","","","0","0","0","","","","","","","","",""
"1007","0","0","0","","","","","","","","","","","",""
"1008","0","0","0","","","","","","","","","","","",""
"1014","","","","","","","0","0","0","","","","","",""
"1021","0","0","0","","","","","","","","","","","",""
"1022","0","0","0","","","","","","","","","","","",""
"1023","","","","","","","0","0","0","","","","","",""
"1040","","","","","","","0","0","0","","","","","",""
"1041","","","","","","","0","0","0","","","","","",""
"1050","0","0","0","","","","0","0","0","","","","","",""
"1051","0","0","0","","","","","","","","","","","",""
"1058","0","0","0","","","","","","","","","","","",""
"1059","","","","0","0","0","","","","","","","","",""
"1062","","","","0","0","0","","","","","","","","",""
"1065","","","","","","","","","","6","6","6","0","0","0"
"1068","","","","","","","","","","7","7","7","","",""
"1070","","","","","","","","","","4","4","4","","",""
"1071","","","","","","","","","","6","6","6","","",""
"1074","","","","0","0","0","","","","","","","0","0","0"
"1078","","","","0","0","0","","","","","","","","",""
"1082","","","","","","","","","","","","","0","0","0"
"1083","","","","","","","","","","7","7","7","","",""
"1086","","","","","","","0","0","0","","","","","",""
"1087","0","0","0","","","","","","","","","","","",""
"1088","0","0","0","","","","","","","","","","","",""
"1091","0","0","0","","","","0","0","0","7","7","7","","",""
"1093","0","0","0","0","0","0","","","","","","","","",""
"1094","","","","","","","0","0","0","","","","","",""
"1102","","","","","","","0","0","0","","","","","",""
"1103","","","","","","","0","0","0","","","","","",""
"1105","","","","0","0","0","","","","","","","","",""
"1111","0","0","0","","","","0","0","0","","","","","",""
"1113","0","0","0","","","","","","","","","","","",""
"1114","","","","0","0","0","","","","","","","","",""
"1116","","","","","","","0","0","0","","","","","",""
"1117","0","0","0","","","","","","","","","","0","0","0"
"1119","","","","","","","","","","","","","0","0","0"
"1120","","","","","","","","","","8","8","8","","",""
"1125","","","","","","","","","","9","9","9","","",""
"1128","0","0","0","","","","","","","","","","","",""
"1133","","","","","","","0","0","0","","","","","",""
"1138","0","0","0","0","0","0","0","0","0","","","","","",""
"1143","","","","","","","0","0","0","","","","","",""
"1146","","","","0","0","0","","","","","","","","",""
"1149","","","","0","0","0","","","","","","","","",""
"1156","","","","","","","0","0","0","","","","0","0","0"
"1157","","","","","","","0","0","0","","","","","",""
"1160","","","","0","0","0","","","","","","","","",""
"1169","","","","","","","0","0","0","","","","","",""
"1170","","","","","","","0","0","0","","","","","",""
"1171","","","","0","0","0","0","0","0","","","","","",""
"1172","","","","0","0","0","","","","","","","","",""
"1176","","","","0","0","0","","","","","","","","",""
"1182","","","","","","","","","","0","0","0","0","0","0"
"1188","","","","7","7","7","","","","","","","","",""
"1189","","","","","","","0","0","0","","","","","",""
"1192","","","","","","","0","0","0","","","","","",""
"1195","","","","","","","","","","2","2","2","0","0","0"
"1196","","","","","","","0","0","0","","","","","",""
"1199","","","","11","11","11","","","","","","","","",""
"1207","","","","","","","","","","","","","6","6","6"
"1211","","","","","","","","","","0","0","0","","",""
"1215","","","","","","","","","","","","","2","2","2"
