"Step","102-static-1","102-static-1 - latency-1__MIN","102-static-1 - latency-1__MAX","102-ofb","102-ofbt - latency-1__MIN","102-ofbt - latency-1__MAX","102-dynamic","102-dynamic - latency-1__MIN","102-dynamic - latency-1__MAX","102-every-10","102-every-10 - latency-1__MIN","102-every-10 - latency-1__MAX","102-every-100","102-every-100 - latency-1__MIN","102-every-100 - latency-1__MAX"
"935","40.25","40.25","40.25","","","","","","","","","","","",""
"936","40.55555555555556","40.55555555555556","40.55555555555556","37.666666666666664","37.666666666666664","37.666666666666664","","","","","","","","",""
"950","40","40","40","","","","","","","","","","","",""
"966","45.75","45.75","45.75","","","","","","","","","","","",""
"969","","","","40.333333333333336","40.333333333333336","40.333333333333336","","","","","","","","",""
"982","","","","","","","","","","70","70","70","66.45454545454545","66.45454545454545","66.45454545454545"
"984","","","","29.90909090909091","29.90909090909091","29.90909090909091","","","","","","","","",""
"987","","","","","","","","","","0","0","0","65.33333333333333","65.33333333333333","65.33333333333333"
"990","29.46153846153846","29.46153846153846","29.46153846153846","","","","","","","","","","","",""
"997","","","","","","","","","","70","70","70","59.666666666666664","59.666666666666664","59.666666666666664"
"1002","","","","","","","","","","0","0","0","56.27272727272727","56.27272727272727","56.27272727272727"
"1009","","","","6.142857142857143","6.142857142857143","6.142857142857143","","","","","","","","",""
"1011","","","","","","","","","","70","70","70","51.416666666666664","51.416666666666664","51.416666666666664"
"1014","4.928571428571429","4.928571428571429","4.928571428571429","0","0","0","","","","","","","","",""
"1021","0","0","0","","","","","","","","","","","",""
"1024","","","","","","","","","","69.2","69.2","69.2","39.333333333333336","39.333333333333336","39.333333333333336"
"1030","","","","","","","24.4","24.4","24.4","","","","","",""
"1032","","","","","","","23.77777777777778","23.77777777777778","23.77777777777778","","","","","",""
"1033","0","0","0","","","","","","","","","","","",""
"1035","0","0","0","0","0","0","22.77777777777778","22.77777777777778","22.77777777777778","","","","","",""
"1037","","","","","","","","","","70","70","70","26.928571428571427","26.928571428571427","26.928571428571427"
"1040","","","","","","","","","","70","70","70","23.5","23.5","23.5"
"1043","","","","","","","17.6","17.6","17.6","","","","","",""
"1046","","","","","","","16.25","16.25","16.25","69.5","69.5","69.5","16.333333333333332","16.333333333333332","16.333333333333332"
"1047","0","0","0","","","","","","","","","","","",""
"1053","","","","","","","","","","70","70","70","10.444444444444445","10.444444444444445","10.444444444444445"
"1055","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","","","","","","","","",""
"1063","0","0","0","","","","5.2","5.2","5.2","","","","","",""
"1065","","","","","","","6.6","6.6","6.6","","","","","",""
"1068","0","0","0","","","","","","","","","","","",""
"1070","","","","","","","5.625","5.625","5.625","","","","","",""
"1074","","","","0.6","0.6","0.6","","","","","","","","",""
"1076","","","","1","1","1","","","","","","","","",""
"1082","0.625","0.625","0.625","","","","","","","","","","","",""
"1083","","","","","","","6","6","6","","","","","",""
"1084","","","","2.4","2.4","2.4","","","","","","","","",""
"1085","","","","","","","","","","0","0","0","0","0","0"
"1087","","","","","","","6","6","6","","","","","",""
"1091","0","0","0","","","","","","","","","","","",""
"1092","","","","4","4","4","","","","","","","","",""
"1095","0.625","0.625","0.625","","","","","","","70","70","70","0","0","0"
"1097","","","","4.166666666666667","4.166666666666667","4.166666666666667","","","","","","","","",""
"1100","","","","","","","8","8","8","","","","","",""
"1101","","","","","","","","","","70","70","70","1.2857142857142858","1.2857142857142858","1.2857142857142858"
"1102","","","","","","","8.166666666666666","8.166666666666666","8.166666666666666","","","","","",""
"1103","0","0","0","","","","","","","","","","","",""
"1108","","","","","","","7.666666666666667","7.666666666666667","7.666666666666667","","","","","",""
"1113","","","","","","","","","","0","0","0","2.8","2.8","2.8"
"1125","","","","0","0","0","","","","","","","","",""
"1129","0","0","0","","","","","","","","","","","",""
"1136","","","","29","29","29","","","","","","","","",""
"1138","11","11","11","","","","","","","","","","","",""
"1142","","","","","","","","","","70","70","70","17","17","17"
"1143","","","","0","0","0","","","","","","","","",""
"1145","","","","37","37","37","","","","","","","","",""
"1151","","","","0","0","0","","","","","","","","",""
"1153","","","","0","0","0","","","","","","","","",""
"1154","0","0","0","","","","","","","","","","","",""
"1158","0","0","0","","","","","","","","","","","",""
"1161","","","","","","","","","","70","70","70","0","0","0"
"1162","33","33","33","","","","","","","","","","","",""
"1169","","","","","","","","","","0","0","0","39","39","39"
"1175","46","46","46","","","","","","","","","","","",""
"1177","47","47","47","","","","","","","","","","","",""
"1195","","","","","","","","","","70","70","70","0","0","0"
"1196","0","0","0","","","","","","","","","","","",""
"1202","","","","0","0","0","","","","","","","","",""
"1203","","","","70","70","70","","","","","","","","",""
"1204","","","","","","","","","","70","70","70","69.33333333333333","69.33333333333333","69.33333333333333"
"1217","","","","70","70","70","","","","","","","","",""
"1228","69.66666666666667","69.66666666666667","69.66666666666667","","","","","","","","","","","",""
"1233","","","","","","","0","0","0","","","","","",""
"1237","","","","","","","0.42857142857142855","0.42857142857142855","0.42857142857142855","","","","","",""
"1238","67.14285714285714","67.14285714285714","67.14285714285714","","","","","","","","","","","",""
"1240","66.625","66.625","66.625","","","","","","","","","","","",""
"1242","","","","65.375","65.375","65.375","","","","","","","","",""
"1257","","","","","","","5.3076923076923075","5.3076923076923075","5.3076923076923075","","","","","",""
"1274","","","","","","","","","","61.18181818181818","61.18181818181818","61.18181818181818","54.27272727272727","54.27272727272727","54.27272727272727"
"1279","","","","61.75","61.75","61.75","","","","","","","","",""
"1289","","","","","","","0.25","0.25","0.25","0","0","0","47.625","47.625","47.625"
"1296","","","","","","","0","0","0","","","","","",""
"1297","","","","","","","","","","45.25","45.25","45.25","46","46","46"
"1299","","","","","","","","","","0","0","0","0","0","0"
"1307","","","","","","","","","","42.2","42.2","42.2","44.2","44.2","44.2"
"1309","","","","","","","","","","0","0","0","43.75","43.75","43.75"
"1312","","","","70","70","70","","","","","","","","",""
"1314","","","","","","","","","","42.44444444444444","42.44444444444444","42.44444444444444","42","42","42"
"1317","","","","","","","","","","40.333333333333336","40.333333333333336","40.333333333333336","42.5","42.5","42.5"
"1319","","","","","","","0","0","0","","","","","",""
"1333","","","","","","","0","0","0","","","","","",""
"1363","70","70","70","","","","","","","","","","","",""
