"Step","102-static-1","102-static-1 - drop-0__MIN","102-static-1 - drop-0__MAX","102-ofb","102-ofbt - drop-0__MIN","102-ofbt - drop-0__MAX","102-dynamic","102-dynamic - drop-0__MIN","102-dynamic - drop-0__MAX","102-every-10","102-every-10 - drop-0__MIN","102-every-10 - drop-0__MAX","102-every-100","102-every-100 - drop-0__MIN","102-every-100 - drop-0__MAX"
"1918","0","0","0","","","","","","","","","","","",""
"1919","","","","","","","","","","","","","0","0","0"
"1922","","","","","","","","","","","","","0","0","0"
"1928","1","1","1","0","0","0","","","","","","","","",""
"1929","","","","","","","","","","","","","0","0","0"
"1931","","","","","","","7","7","7","","","","","",""
"1933","","","","0","0","0","","","","0","0","0","","",""
"1935","4","4","4","","","","","","","","","","","",""
"1940","","","","","","","11","11","11","","","","","",""
"1944","","","","","","","","","","0","0","0","","",""
"1952","","","","","","","2","2","2","","","","","",""
"1953","","","","0","0","0","","","","","","","","",""
"1955","","","","","","","","","","0","0","0","4","4","4"
"1960","","","","","","","","","","0","0","0","","",""
"1962","","","","0","0","0","7","7","7","","","","","",""
"1965","","","","","","","2","2","2","","","","","",""
"1979","8","8","8","","","","","","","","","","","",""
"1984","","","","6","6","6","","","","","","","","",""
"1986","","","","","","","0","0","0","","","","","",""
"1988","","","","","","","","","","0","0","0","","",""
"1993","","","","","","","","","","0","0","0","","",""
"1999","","","","","","","","","","","","","11","11","11"
"2000","","","","","","","","","","0","0","0","","",""
"2003","","","","","","","","","","0","0","0","","",""
"2005","6","6","6","","","","","","","","","","","",""
"2006","","","","","","","","","","0","0","0","","",""
"2007","","","","","","","","","","","","","9","9","9"
"2008","","","","","","","","","","0","0","0","","",""
"2009","","","","","","","0","0","0","","","","","",""
"2017","","","","","","","","","","","","","5","5","5"
"2024","","","","","","","","","","0","0","0","","",""
"2038","","","","0","0","0","","","","","","","","",""
"2039","","","","1","1","1","","","","","","","","",""
"2040","","","","","","","","","","0","0","0","","",""
"2044","","","","","","","","","","","","","6","6","6"
"2052","","","","","","","0","0","0","","","","","",""
"2060","","","","0","0","0","","","","","","","","",""
"2061","","","","","","","1","1","1","","","","","",""
"2064","","","","","","","","","","0","0","0","","",""
"2065","","","","","","","","","","","","","6","6","6"
